DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#a2a78e	Pseudovirgaria
Coccidioides_immitis	#2df0d9	Coccidioides
Coccidioides_immitis	#2df0d9	Coccidioides
Coccidioides_posadasii	#2df0d9	Coccidioides
Uncinocarpus_reesii	#1c0966	Uncinocarpus
Phaeomoniella_chlamydospora	#7aada5	Phaeomoniella
Endocarpon_pusillum	#0f9b79	Endocarpon
Endocarpon_pusillum	#0f9b79	Endocarpon
Glutinoglossum_americanum	#6b9016	Glutinoglossum
Trichoglossum_hirsutum	#44674f	Trichoglossum
Heterodermia_speciosa	#1a8f11	Heterodermia
Alectoria_fallacina	#f84c64	Alectoria
Imshaugia_aleurites	#cabf44	Imshaugia
Letharia_columbiana	#d861a3	Letharia
Letharia_lupina	#d861a3	Letharia
Gomphillus_americanus	#25feed	Gomphillus
Blumeria_graminis	#cf3fb6	Blumeria
Blumeria_hordei	#cf3fb6	Blumeria
Blumeria_hordei	#cf3fb6	Blumeria
Erysiphe_necator	#58c811	Erysiphe
Erysiphe_pulchra	#58c811	Erysiphe
Golovinomyces_cichoracearum	#c4f94c	Golovinomyces
Oidium_neolycopersici	#47de07	Oidium
Amorphotheca_resinae	#7bef39	Amorphotheca
Coleophoma_cylindrospora	#1ec890	Coleophoma
Marssonina_coronariae	#92e614	Marssonina
Drepanopeziza_brunnea	#1599a4	Drepanopeziza
Glarea_lozoyensis	#8f4105	Glarea
Glarea_lozoyensis	#8f4105	Glarea
Hymenoscyphus_albidus	#27757f	Hymenoscyphus
Hymenoscyphus_fraxineus	#27757f	Hymenoscyphus
Hyaloscypha_bicolor	#845660	Hyaloscypha
Hyaloscypha_hepaticicola	#845660	Hyaloscypha
Hyaloscypha_variabilis	#845660	Hyaloscypha
Hyphodiscus_hymeniophilus	#550b29	Hyphodiscus
Lachnellula_arida	#180ce2	Lachnellula
Lachnellula_cervina	#180ce2	Lachnellula
Lachnellula_hyalina	#180ce2	Lachnellula
Lachnellula_occidentalis	#180ce2	Lachnellula
Lachnellula_subtilissima	#180ce2	Lachnellula
Lachnellula_suecica	#180ce2	Lachnellula
Lachnellula_willkommii	#180ce2	Lachnellula
Mollisia_scopiformis	#d79c87	Mollisia
Phialocephala_subalpina	#61c466	Phialocephala
Amylocarpus_encephaloides	#3215ae	Amylocarpus
Cadophora_malorum	#2d03b6	Cadophora
Cadophora_sp._DSE1049	#2d03b6	Cadophora
Cadophora_sp._M221	#2d03b6	Cadophora
Helotiales_sp._DMI_Dod_QoI	#0c4206	nan
Rhexocercosporidium_sp._MPI-PUGE-AT-0058	#03efde	Rhexocercosporidium
Calycina_marina	#d82a01	Calycina
Venustampulla_echinocandica	#d94ed5	Venustampulla
Rhynchosporium_commune	#bf0872	Rhynchosporium
Rutstroemia_sp._NJR-2017a_BBW	#c3390b	Rutstroemia
Rutstroemia_sp._NJR-2017a_BVV2	#c3390b	Rutstroemia
Rutstroemia_sp._NJR-2017a_WRK4	#c3390b	Rutstroemia
Botryotinia_calthae	#c77aac	Botryotinia
Botryotinia_convoluta	#c77aac	Botryotinia
Botryotinia_narcissicola	#c77aac	Botryotinia
Botrytis_cinerea	#a29828	Botrytis
Botrytis_cinerea	#a29828	Botrytis
Botrytis_elliptica	#a29828	Botrytis
Botrytis_fragariae	#a29828	Botrytis
Botrytis_porri	#a29828	Botrytis
Monilinia_fructicola	#218a70	Monilinia
Monilinia_fructigena	#218a70	Monilinia
Monilinia_laxa	#218a70	Monilinia
Monilinia_vaccinii-corymbosi	#218a70	Monilinia
Sclerotinia_borealis	#bc7e03	Sclerotinia
Sclerotinia_sclerotiorum	#bc7e03	Sclerotinia
Sclerotinia_trifoliorum	#bc7e03	Sclerotinia
Cudoniella_acicularis	#d555b1	Cudoniella
Oidiodendron_maius	#5f7790	Oidiodendron
Leotiomycetes_sp._MPI-SDFR-AT-0126	#0c4206	nan
Scytalidium_lignicola	#90e6e5	Scytalidium
Scytalidium_sp._3C	#90e6e5	Scytalidium
Pseudogymnoascus_destructans	#45ee5d	Pseudogymnoascus
