DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#a2a78e	Pseudovirgaria
Lophotis_ruficrista	#367b23	Lophotis
Psophia_crepitans	#21493b	Psophia
Atlantisia_rogersi	#b366c9	Atlantisia
Zapornia_atra	#53558a	Zapornia
Rhynochetos_jubatus	#e8e4d5	Rhynochetos
Corythaeola_cristata	#634588	Corythaeola
Corythaixoides_concolor	#8093c9	Corythaixoides
Tauraco_erythrolophus	#b8221b	Tauraco
Opisthocomus_hoazin	#80b0e4	Opisthocomus
Acanthisitta_chloris	#5643a1	Acanthisitta
Mohoua_ochrocephala	#70bce2	Mohoua
Origma_solitaria	#5e4398	Origma
Aegithalos_caudatus	#25316f	Aegithalos
Alaudala_cheleensis	#928bc4	Alaudala
Gymnorhina_tibicen	#ec0416	Gymnorhina
Bombycilla_garrulus	#db978b	Bombycilla
Phainopepla_nitens	#82846c	Phainopepla
Callaeas_wilsoni	#bb81e0	Callaeas
Edolisoma_coerulescens	#388a90	Edolisoma
Certhia_brachydactyla	#fc2397	Certhia
Certhia_familiaris	#fc2397	Certhia
Polioptila_caerulea	#458ebb	Polioptila
Thryothorus_ludovicianus	#fed594	Thryothorus
Cinclus_mexicanus	#ac8d14	Cinclus
Ifrita_kowaldi	#bc3137	Ifrita
Ptilorrhoa_leucosticta	#7b1bd1	Ptilorrhoa
Cisticola_juncidis	#96b996	Cisticola
Climacteris_rufus	#6dac7c	Climacteris
Struthidea_cinerea	#64aeee	Struthidea
Aphelocoma_coerulescens	#f5a824	Aphelocoma
Cnemophilus_loriae	#08be88	Cnemophilus
Corvus_brachyrhynchos	#d10181	Corvus
Corvus_moneduloides	#d10181	Corvus
Oriolus_oriolus	#5eebd6	Oriolus
Cephalopterus_ornatus	#dd681f	Cephalopterus
Oxyruncus_cristatus	#5c1d12	Oxyruncus
Dasyornis_broadbenti	#bd7660	Dasyornis
Campylorhamphus_procurvoides	#cf4463	Campylorhamphus
Xiphorhynchus_elegans	#a763ff	Xiphorhynchus
Dicaeum_eximium	#27d8e7	Dicaeum
Dicrurus_megarhynchus	#d076e6	Dicrurus
Erythrocercus_mccallii	#774e0c	Erythrocercus
Machaerirhynchus_nigripectus	#b56041	Machaerirhynchus
Elachura_formosa	#f7f3ab	Elachura
Lonchura_striata	#3a74db	Lonchura
Taeniopygia_guttata	#32b8e1	Taeniopygia
Vidua_chalybeata	#dfa7ed	Vidua
Vidua_macroura	#dfa7ed	Vidua
Calyptomena_viridis	#82f3ee	Calyptomena
Serilophus_lunatus	#874594	Serilophus
Smithornis_capensis	#6a7b03	Smithornis
Formicarius_rufipectus	#2e5c2c	Formicarius
Grallaria_varia	#364995	Grallaria
Calcarius_ornatus	#71c3c8	Calcarius
Cardinalis_cardinalis	#5cdcb6	Cardinalis
Emberiza_fucata	#4254dc	Emberiza
Loxia_curvirostra	#6dc6fa	Loxia
Passerina_amoena	#cba816	Passerina
Peucedramus_taeniatus	#d1caf5	Peucedramus
Pheucticus_melanocephalus	#db08c1	Pheucticus
Serinus_canaria	#e16650	Serinus
Urocynchramus_pylzowi	#ddabd3	Urocynchramus
Furnarius_figulus	#5190f7	Furnarius
Sclerurus_mexicanus	#661fee	Sclerurus
Hirundo_rustica	#5a1706	Hirundo
Hirundo_rustica	#5a1706	Hirundo
Molothrus_ater	#2b6be1	Molothrus
Quiscalus_mexicanus	#bbd68a	Quiscalus
Chloropsis_cyanopogon	#6b02dc	Chloropsis
Chloropsis_hardwickii	#6b02dc	Chloropsis
Irena_cyanogastra	#cac46e	Irena
Lanius_ludovicianus	#f1a0e3	Lanius
Leiothrix_lutea	#867e31	Leiothrix
Locustella_ochotensis	#a5cd27	Locustella
Dryoscopus_gambensis	#58422d	Dryoscopus
Malurus_cyaneus	#754c9d	Malurus
Malurus_elegans	#754c9d	Malurus
Melanocharis_versteri	#7653d9	Melanocharis
Grantiella_picta	#f6c6f3	Grantiella
Atrichornis_clamosus	#532c46	Atrichornis
Donacobius_atricapilla	#693b3d	Donacobius
Toxostoma_redivivum	#7cd9ca	Toxostoma
Myiagra_hebetior	#e6aea8	Myiagra
Motacilla_alba	#fdcc2e	Motacilla
Cercotrichas_coryphoeus	#d1e31d	Cercotrichas
Copsychus_sechellarum	#e11582	Copsychus
Ficedula_albicollis	#0aacbb	Ficedula
Oenanthe_oenanthe	#8a34e1	Oenanthe
Aleadryas_rufinucha	#c348c5	Aleadryas
Daphoenositta_chrysoptera	#157840	Daphoenositta
Eulacestoma_nigropectus	#00a1ee	Eulacestoma
Falcunculus_frontatus	#4d1c7d	Falcunculus
Pachycephala_philippinensis	#7d3b86	Pachycephala
Platysteira_castanea	#687714	Platysteira
Rhagologus_leucostigma	#8de511	Rhagologus
Leptocoma_aspasia	#eba063	Leptocoma
Promerops_cafer	#431a49	Promerops
Notiomystis_cincta	#b3d183	Notiomystis
Orthonyx_spaldingii	#f4f39d	Orthonyx
Oreocharis_arfaki	#8c2c10	Oreocharis
Pardalotus_punctatus	#947987	Pardalotus
Anthoscopus_minutus	#663722	Anthoscopus
Cyanistes_caeruleus	#17fb38	Cyanistes
Poecile_atricapillus	#53bcfe	Poecile
Setophaga_kirtlandii	#821858	Setophaga
Junco_hyemalis	#428e4a	Junco
Melospiza_melodia	#155cd4	Melospiza
Spizella_passerina	#b7936c	Spizella
Zonotrichia_albicollis	#b190a8	Zonotrichia
Chloebia_gouldiae	#72aaf3	Chloebia
Prunella_fulvescens	#944e97	Prunella
Prunella_himalayana	#944e97	Prunella
Drymodes_brunneopygia	#6dd64e	Drymodes
Neodrepanis_coruscans	#fdcfc3	Neodrepanis
Rhadina_sibilatrix	#0fdda9	Rhadina
Chaetops_frenatus	#c9d696	Chaetops
Picathartes_gymnocephalus	#7bd314	Picathartes
Lepidothrix_coronata	#e0943e	Lepidothrix
Manacus_vitellinus	#bf6249	Manacus
Pipra_filicauda	#28555c	Pipra
Piprites_chloris	#205c49	Piprites
Pitta_sordida	#30e424	Pitta
Ploceus_nigricollis	#1db258	Ploceus
Ptilonorhynchus_violaceus	#db362f	Ptilonorhynchus
Brachypodius_atriceps	#de4464	Brachypodius
Nicator_chloris	#9ba9bd	Nicator
Pycnonotus_jocosus	#60d74c	Pycnonotus
Rhabdornis_inornatus	#ac4aa1	Rhabdornis
Scytalopus_superciliaris	#75bbcc	Scytalopus
Chaetorhynchus_papuensis	#ffff9f	Chaetorhynchus
Rhipidura_dahli	#90aa3a	Rhipidura
Horornis_vulcanius	#c92303	Horornis
Sitta_europaea	#93366c	Sitta
Tichodroma_muraria	#40a823	Tichodroma
Buphagus_erythrorhynchus	#aba5a2	Buphagus
Lamprotornis_superbus	#a7e2e7	Lamprotornis
Leucopsar_rothschildi	#9e8ea9	Leucopsar
Acrocephalus_arundinaceus	#750c6b	Acrocephalus
Cettia_cetti	#b2e007	Cettia
Hippolais_icterina	#82045b	Hippolais
Hylia_prasina	#41950e	Hylia
Panurus_biarmicus	#09a6ec	Panurus
Regulus_satrapa	#5bf62e	Regulus
Sinosuthora_webbiana	#86db55	Sinosuthora
Sylvia_atricapilla	#1195e8	Sylvia
Sylvia_borin	#1195e8	Sylvia
Sylvietta_virens	#871d4b	Sylvietta
Sakesphorus_luctuosus	#b84f7e	Sakesphorus
Geospiza_fortis	#da33c9	Geospiza
Nesospiza_acunhae	#9669dc	Nesospiza
Rhodinocichla_rosea	#1a687c	Rhodinocichla
Cyanoderma_ruficeps	#af453d	Cyanoderma
Erpornis_zantholeuca	#d16e42	Erpornis
Illadopsis_cleaveri	#0d9f1a	Illadopsis
Mystacornis_crossleyi	#d551d2	Mystacornis
Pomatorhinus_ruficollis	#7042eb	Pomatorhinus
Pomatostomus_ruficeps	#7158b3	Pomatostomus
Pteruthius_melanotis	#2f29bd	Pteruthius
Catharus_fuscescens	#9ec7f9	Catharus
Catharus_ustulatus	#9ec7f9	Catharus
Erithacus_rubecula	#26fa5d	Erithacus
Mionectes_macconnelli	#0a70d1	Mionectes
Neopipo_cinnamomea	#a39e4b	Neopipo
Onychorhynchus_coronatus	#befa46	Onychorhynchus
Pachyramphus_minor	#33f040	Pachyramphus
Sapayoa_aenigma	#de86b0	Sapayoa
Tachuris_rubrigastra	#0f9626	Tachuris
Tyrannus_savana	#34aa9e	Tyrannus
Vireo_altiloquus	#b95509	Vireo
Hypocryptadius_cinnamomeus	#cae5ac	Hypocryptadius
Sterrhoptilus_dennistouni	#4a2868	Sterrhoptilus
Zosterops_borbonicus	#b4a569	Zosterops
Zosterops_hypoxanthus	#b4a569	Zosterops
Zosterops_lateralis	#b4a569	Zosterops
Anhinga_anhinga	#9ae6be	Anhinga
Anhinga_rufa	#9ae6be	Anhinga
Cochlearius_cochlearius	#25794e	Cochlearius
Egretta_garzetta	#30509b	Egretta
Fregata_magnificens	#6c3dbd	Fregata
Pelecanus_crispus	#3699d5	Pelecanus
Phaethon_lepturus	#c783b5	Phaethon
Phalacrocorax_carbo	#0000c4	Phalacrocorax
Sula_dactylatra	#3ef338	Sula
Mesembrinibis_cayennensis	#db1a34	Mesembrinibis
Nipponia_nippon	#a0ced0	Nipponia
Phoenicopterus_ruber	#a52ac9	Phoenicopterus
Indicator_maculatus	#db9e84	Indicator
Tricholaema_leucomelas	#710b94	Tricholaema
Psilopogon_haemacephalus	#9bd169	Psilopogon
Dryobates_pubescens	#3a264c	Dryobates
Eubucco_bourcierii	#128697	Eubucco
Ramphastos_sulfuratus	#fdfec2	Ramphastos
Semnornis_frantzii	#738187	Semnornis
Podiceps_cristatus	#2f2472	Podiceps
Podilymbus_podiceps	#f19e43	Podilymbus
Thalassarche_chlororhynchos	#3d95d4	Thalassarche
Fregetta_grallaria	#b351ee	Fregetta
Oceanites_oceanicus	#06ed0b	Oceanites
Oceanodroma_tethys	#94e072	Oceanodroma
Pelecanoides_urinatrix	#22fb1e	Pelecanoides
Calonectris_borealis	#c06a50	Calonectris
Fulmarus_glacialis	#85416c	Fulmarus
Eolophus_roseicapilla	#e704ac	Eolophus
Probosciger_aterrimus	#3ddf7d	Probosciger
Amazona_aestiva	#d02d6c	Amazona
Amazona_collaria	#d02d6c	Amazona
Amazona_guildingii	#d02d6c	Amazona
Nestor_notabilis	#9dac50	Nestor
Strigops_habroptila	#9bba17	Strigops
Aptenodytes_forsteri	#9eaecf	Aptenodytes
Aptenodytes_patagonicus	#9eaecf	Aptenodytes
Eudyptes_chrysocome	#8c8329	Eudyptes
Eudyptula_minor	#b57e1b	Eudyptula
Pygoscelis_adeliae	#da256d	Pygoscelis
Athene_cunicularia	#1d308b	Athene
Bubo_bubo	#31fd54	Bubo
Ciccaba_nigrolineata	#f3143d	Ciccaba
Glaucidium_brasilianum	#7cc2d7	Glaucidium
Otus_sunia	#bc0685	Otus
Strix_occidentalis	#a1fa10	Strix
Tyto_alba	#b45a8e	Tyto
Struthio_camelus	#f4daeb	Struthio
Crypturellus_soui	#820fd6	Crypturellus
Crypturellus_undulatus	#820fd6	Crypturellus
Eudromia_elegans	#1d25c7	Eudromia
Nothocercus_julius	#5753f9	Nothocercus
Nothoprocta_ornata	#7a4e5c	Nothoprocta
Nothoprocta_perdicaria	#7a4e5c	Nothoprocta
Tinamus_guttatus	#2b9adc	Tinamus
Apaloderma_vittatum	#af0871	Apaloderma
Trogon_melanurus	#e37c2a	Trogon
Rhinopomastus_cyanomelas	#7e040c	Rhinopomastus
Upupa_epops	#ee82a6	Upupa
Scyliorhinus_torazame	#a3ba37	Scyliorhinus
Callorhinchus_milii	#a663ec	Callorhinchus
Chiloscyllium_punctatum	#56c718	Chiloscyllium
Erpetoichthys_calabaricus	#10a1e4	Erpetoichthys
Polypterus_senegalus	#d2ca4a	Polypterus
Sphenodon_punctatus	#6f5965	Sphenodon
Phrynocephalus_forsythii	#275f8f	Phrynocephalus
Pogona_vitticeps	#2fc896	Pogona
Pantherophis_guttatus	#a2d329	Pantherophis
Thamnophis_sirtalis	#4d3cca	Thamnophis
Anolis_carolinensis	#c6fb99	Anolis
Laticauda_laticaudata	#10d57c	Laticauda
Naja_naja	#4de651	Naja
Notechis_scutatus	#327564	Notechis
Ophiophagus_hannah	#b304dc	Ophiophagus
Pseudonaja_textilis	#f89e4b	Pseudonaja
Podarcis_muralis	#db1c88	Podarcis
Python_bivittatus	#073385	Python
Salvator_merianae	#1c19fc	Salvator
Varanus_komodoensis	#a868bf	Varanus
Branchiostoma_belcheri	#191c4d	Branchiostoma
Branchiostoma_floridae	#191c4d	Branchiostoma
Branchiostoma_lanceolatum	#191c4d	Branchiostoma
Balaenoptera_acutorostrata	#ffb7aa	Balaenoptera
Balaenoptera_musculus	#ffb7aa	Balaenoptera
Balaenoptera_physalus	#ffb7aa	Balaenoptera
Bison_bison	#e8e965	Bison
Bos_grunniens	#633758	Bos
Bos_indicus	#633758	Bos
Bos_indicus_x_Bos_taurus	#633758	Bos
Bos_mutus	#633758	Bos
Bos_taurus	#633758	Bos
Capra_hircus	#6579d2	Capra
Ovis_aries	#86e6e8	Ovis
Camelus_dromedarius	#ca81ad	Camelus
Camelus_ferus	#ca81ad	Camelus
Vicugna_pacos	#99892e	Vicugna
Cervus_elaphus	#c6dee1	Cervus
Muntiacus_reevesi	#8a9f96	Muntiacus
Odocoileus_virginianus	#0f8932	Odocoileus
Tursiops_truncatus	#b385bf	Tursiops
Eschrichtius_robustus	#cbf22f	Eschrichtius
Lipotes_vexillifer	#b523eb	Lipotes
Delphinapterus_leucas	#91bc2a	Delphinapterus
Monodon_monoceros	#81766f	Monodon
Moschus_moschiferus	#547e97	Moschus
Neophocaena_asiaeorientalis	#d9eada	Neophocaena
Phocoena_sinus	#5fd498	Phocoena
Physeter_catodon	#6db919	Physeter
Sus_scrofa	#6081c6	Sus
Catagonus_wagneri	#c6c085	Catagonus
Canis_lupus	#abecb0	Canis
Canis_lupus	#abecb0	Canis
Nyctereutes_procyonoides	#d4a54c	Nyctereutes
Vulpes_vulpes	#1b4b23	Vulpes
Acinonyx_jubatus	#6e27f2	Acinonyx
Felis_catus	#653e12	Felis
Lynx_canadensis	#cbaebe	Lynx
Lynx_pardinus	#cbaebe	Lynx
Panthera_leo	#027f9f	Panthera
Panthera_tigris	#027f9f	Panthera
Puma_concolor	#1f5821	Puma
Suricata_suricatta	#b1ade4	Suricata
Crocuta_crocuta	#47294e	Crocuta
Enhydra_lutris	#375e68	Enhydra
Mustela_putorius	#a524f6	Mustela
Neogale_vison	#0546e0	Neogale
Odobenus_rosmarus	#44d681	Odobenus
Callorhinus_ursinus	#6d9efe	Callorhinus
Leptonychotes_weddellii	#b45e03	Leptonychotes
Neomonachus_schauinslandi	#468b43	Neomonachus
Ailuropoda_melanoleuca	#b74e0c	Ailuropoda
Ursus_americanus	#f88f8d	Ursus
Ursus_maritimus	#f88f8d	Ursus
Hipposideros_armiger	#0602ec	Hipposideros
Molossus_molossus	#9881e0	Molossus
Phyllostomus_discolor	#a00076	Phyllostomus
Pteropus_alecto	#055ac9	Pteropus
Pteropus_vampyrus	#055ac9	Pteropus
Rousettus_aegyptiacus	#593caa	Rousettus
Rhinolophus_ferrumequinum	#e68fbe	Rhinolophus
Myotis_brandtii	#b22aae	Myotis
Myotis_davidii	#b22aae	Myotis
Myotis_lucifugus	#b22aae	Myotis
Myotis_myotis	#b22aae	Myotis
Pipistrellus_kuhlii	#bd5755	Pipistrellus
Sarcophilus_harrisii	#31d1db	Sarcophilus
Monodelphis_domestica	#33b71e	Monodelphis
Phascolarctos_cinereus	#237cff	Phascolarctos
Vombatus_ursinus	#a92dd0	Vombatus
Erinaceus_europaeus	#3a96e1	Erinaceus
Galemys_pyrenaicus	#376f07	Galemys
Oryctolagus_cuniculus	#2ade48	Oryctolagus
Ornithorhynchus_anatinus	#b56f25	Ornithorhynchus
Chrysochloris_asiatica	#8b2033	Chrysochloris
Equus_asinus	#3c6d9c	Equus
Equus_caballus	#3c6d9c	Equus
Diceros_bicornis	#dc1f0e	Diceros
Aotus_nancymaae	#0f1710	Aotus
Callithrix_jacchus	#74d3a4	Callithrix
Cebus_imitator	#91fbec	Cebus
Saimiri_boliviensis	#55d0fc	Saimiri
Sapajus_apella	#a12842	Sapajus
Cercocebus_atys	#07c653	Cercocebus
Chlorocebus_sabaeus	#f8efe6	Chlorocebus
Colobus_angolensis	#0b17c9	Colobus
Macaca_fascicularis	#f9a60b	Macaca
Macaca_mulatta	#f9a60b	Macaca
Macaca_nemestrina	#f9a60b	Macaca
Mandrillus_leucophaeus	#35e13e	Mandrillus
Papio_anubis	#522de2	Papio
Piliocolobus_tephrosceles	#b4584a	Piliocolobus
Rhinopithecus_bieti	#e9bcd4	Rhinopithecus
Rhinopithecus_roxellana	#e9bcd4	Rhinopithecus
Theropithecus_gelada	#298d4d	Theropithecus
Microcebus_murinus	#ae31ff	Microcebus
Otolemur_garnettii	#1fd16a	Otolemur
Gorilla_gorilla	#615c19	Gorilla
Homo_sapiens	#e51525	Homo
Pan_paniscus	#ef745d	Pan
Pan_troglodytes	#ef745d	Pan
Pongo_abelii	#ab1a41	Pongo
Nomascus_leucogenys	#d3655e	Nomascus
Propithecus_coquereli	#a62646	Propithecus
Prolemur_simus	#5141b0	Prolemur
Carlito_syrichta	#425d72	Carlito
Loxodonta_africana	#3eff4e	Loxodonta
Fukomys_damarensis	#a5c098	Fukomys
Heterocephalus_glaber	#32ff61	Heterocephalus
Castor_canadensis	#be8552	Castor
Cavia_porcellus	#9bb7de	Cavia
Chinchilla_lanigera	#d70d28	Chinchilla
Cricetulus_griseus	#8c8785	Cricetulus
Mesocricetus_auratus	#92f6a2	Mesocricetus
Microtus_ochrogaster	#f3af20	Microtus
Neotoma_lepida	#df996c	Neotoma
Peromyscus_maniculatus	#0709b9	Peromyscus
Jaculus_jaculus	#afad9a	Jaculus
Dipodomys_ordii	#88a02e	Dipodomys
Mus_musculus	#6b0705	Mus
Mus_spicilegus	#6b0705	Mus
Rattus_norvegicus	#d4e254	Rattus
Octodon_degus	#6515af	Octodon
Ictidomys_tridecemlineatus	#a733db	Ictidomys
Marmota_marmota	#794ea6	Marmota
Marmota_monax	#794ea6	Marmota
Sciurus_vulgaris	#15df8e	Sciurus
Spermophilus_dauricus	#71118a	Spermophilus
Urocitellus_parryii	#aff985	Urocitellus
Nannospalax_galili	#c38471	Nannospalax
Tupaia_chinensis	#05bba4	Tupaia
Trichechus_manatus	#224108	Trichechus
Orycteropus_afer	#ed4289	Orycteropus
Eptatretus_burgeri	#bc95f5	Eptatretus
Latimeria_chalumnae	#305986	Latimeria
Alligator_mississippiensis	#e0d9c7	Alligator
Alligator_sinensis	#e0d9c7	Alligator
Crocodylus_porosus	#5ce676	Crocodylus
Chelonia_mydas	#a4b553	Chelonia
Chelydra_serpentina	#5f65de	Chelydra
Chrysemys_picta	#6e8b3d	Chrysemys
Terrapene_carolina	#1f0b7a	Terrapene
Mauremys_mutica	#9b7542	Mauremys
Pelusios_castaneus	#eeb231	Pelusios
Platysternon_megacephalum	#4b30de	Platysternon
Chelonoidis_abingdonii	#04a5e3	Chelonoidis
Gopherus_agassizii	#cbfa09	Gopherus
Gopherus_evgoodei	#cbfa09	Gopherus
Pelodiscus_sinensis	#2fc9b6	Pelodiscus
Actinia_tenebrosa	#491f8a	Actinia
Exaiptasia_diaphana	#b7244e	Exaiptasia
Nematostella_vectensis	#2fd373	Nematostella
Paramuricea_clavata	#a383c5	Paramuricea
Pocillopora_damicornis	#940db2	Pocillopora
Stylophora_pistillata	#fd7e4a	Stylophora
Hydra_vulgaris	#13decf	Hydra
Clytia_hemisphaerica	#1a8ba1	Clytia
Acanthaster_planci	#37411c	Acanthaster
Patiria_miniata	#bec1b2	Patiria
Strongylocentrotus_purpuratus	#6922a8	Strongylocentrotus
Holothuria_leucospilota	#045f3e	Holothuria
Apostichopus_japonicus	#63d14c	Apostichopus
Dreissena_polymorpha	#e727ee	Dreissena
Mytilus_coruscus	#4b9227	Mytilus
Mytilus_edulis	#4b9227	Mytilus
Mytilus_galloprovincialis	#4b9227	Mytilus
Crassostrea_gigas	#e31da9	Crassostrea
Crassostrea_virginica	#e31da9	Crassostrea
Mizuhopecten_yessoensis	#3b953d	Mizuhopecten
Octopus_vulgaris	#963865	Octopus
Sepia_pharaonis	#dd067a	Sepia
Pomacea_canaliculata	#db9f9a	Pomacea
Lottia_gigantea	#128b5b	Lottia
Elysia_chlorotica	#6f9a77	Elysia
Candidula_unifasciata	#24b5ef	Candidula
Plectus_sambesii	#205bef	Plectus
Ditylenchus_dipsaci	#d46564	Ditylenchus
Anisakis_simplex	#2ed9bf	Anisakis
Bursaphelenchus_okinawaensis	#aa42bf	Bursaphelenchus
Bursaphelenchus_xylophilus	#aa42bf	Bursaphelenchus
Parascaris_equorum	#3eddef	Parascaris
Parascaris_univalens	#3eddef	Parascaris
Acrobeloides_nanus	#0f6472	Acrobeloides
Dracunculus_medinensis	#957038	Dracunculus
Gongylonema_pulchrum	#821b69	Gongylonema
Globodera_rostochiensis	#b8c60b	Globodera
Meloidogyne_enterolobii	#3b33d4	Meloidogyne
Meloidogyne_floridensis	#3b33d4	Meloidogyne
Meloidogyne_graminicola	#3b33d4	Meloidogyne
Meloidogyne_incognita	#3b33d4	Meloidogyne
Meloidogyne_javanica	#3b33d4	Meloidogyne
Pristionchus_pacificus	#a4be01	Pristionchus
Acanthocheilonema_viteae	#c7d093	Acanthocheilonema
Brugia_malayi	#597ecb	Brugia
Brugia_pahangi	#597ecb	Brugia
Brugia_timori	#597ecb	Brugia
Cercopithifilaria_johnstoni	#65a3d6	Cercopithifilaria
Litomosoides_sigmodontis	#545c11	Litomosoides
Loa_loa	#a3f3e1	Loa
Onchocerca_flexuosa	#c2376c	Onchocerca
Onchocerca_ochengi	#c2376c	Onchocerca
Onchocerca_volvulus	#c2376c	Onchocerca
Wuchereria_bancrofti	#5425f7	Wuchereria
Enterobius_vermicularis	#459e55	Enterobius
Halicephalobus_sp._NKZ332	#246ae6	Halicephalobus
Panagrellus_redivivus	#7f815d	Panagrellus
Panagrolaimus_davidi	#e259b6	Panagrolaimus
Panagrolaimus_sp._ES5	#e259b6	Panagrolaimus
Panagrolaimus_sp._JU765	#e259b6	Panagrolaimus
Panagrolaimus_sp._PS1159	#e259b6	Panagrolaimus
Panagrolaimus_superbus	#e259b6	Panagrolaimus
Caenorhabditis_angaria	#29390b	Caenorhabditis
Caenorhabditis_auriculariae	#29390b	Caenorhabditis
Caenorhabditis_bovis	#29390b	Caenorhabditis
Caenorhabditis_brenneri	#29390b	Caenorhabditis
Caenorhabditis_briggsae	#29390b	Caenorhabditis
Caenorhabditis_elegans	#29390b	Caenorhabditis
Caenorhabditis_japonica	#29390b	Caenorhabditis
Caenorhabditis_latens	#29390b	Caenorhabditis
Caenorhabditis_nigoni	#29390b	Caenorhabditis
Caenorhabditis_remanei	#29390b	Caenorhabditis
Diploscapter_pachys	#135725	Diploscapter
Mesorhabditis_belari	#fe75ca	Mesorhabditis
Setaria_digitata	#d93d6a	Setaria
Steinernema_carpocapsae	#4592d4	Steinernema
Strongyloides_ratti	#2321cc	Strongyloides
Strongyloides_stercoralis	#2321cc	Strongyloides
Strongyloides_venezuelensis	#2321cc	Strongyloides
Thelazia_callipaeda	#8eb966	Thelazia
Toxocara_canis	#86f474	Toxocara
Ancylostoma_caninum	#26247d	Ancylostoma
Ancylostoma_ceylanicum	#26247d	Ancylostoma
Ancylostoma_duodenale	#26247d	Ancylostoma
Necator_americanus	#7a2d22	Necator
Angiostrongylus_cantonensis	#61bfdb	Angiostrongylus
Angiostrongylus_costaricensis	#61bfdb	Angiostrongylus
Oesophagostomum_dentatum	#e977b7	Oesophagostomum
Dictyocaulus_viviparus	#118178	Dictyocaulus
Haemonchus_placei	#7ee84b	Haemonchus
Teladorsagia_circumcincta	#b44459	Teladorsagia
Nippostrongylus_brasiliensis	#01e990	Nippostrongylus
Cylicostephanus_goldi	#2bc88b	Cylicostephanus
Strongylus_vulgaris	#24ca0f	Strongylus
Soboliphyme_baturini	#f3ecb4	Soboliphyme
Romanomermis_culicivorax	#b98eb9	Romanomermis
Trichinella_britovi	#e9a39f	Trichinella
Trichinella_murrelli	#e9a39f	Trichinella
Trichinella_nativa	#e9a39f	Trichinella
Trichinella_nelsoni	#e9a39f	Trichinella
Trichinella_papuae	#e9a39f	Trichinella
Trichinella_patagoniensis	#e9a39f	Trichinella
Trichinella_pseudospiralis	#e9a39f	Trichinella
Trichinella_sp._T6	#e9a39f	Trichinella
Trichinella_sp._T8	#e9a39f	Trichinella
Trichinella_sp._T9	#e9a39f	Trichinella
Trichinella_spiralis	#e9a39f	Trichinella
Trichinella_zimbabwensis	#e9a39f	Trichinella
Trichuris_suis	#90c0b0	Trichuris
Dibothriocephalus_latus	#aa046c	Dibothriocephalus
Schistocephalus_solidus	#2a8e1e	Schistocephalus
Protopolystoma_xenopodis	#88930b	Protopolystoma
Macrostomum_lignano	#7e7b74	Macrostomum
Clonorchis_sinensis	#fe3ce7	Clonorchis
Opisthorchis_felineus	#6937c0	Opisthorchis
Opisthorchis_viverrini	#6937c0	Opisthorchis
Echinostoma_caproni	#29d4a1	Echinostoma
Fasciola_gigantica	#dae84d	Fasciola
Fasciola_hepatica	#dae84d	Fasciola
Fasciolopsis_buski	#17457d	Fasciolopsis
Paragonimus_heterotremus	#36a7ed	Paragonimus
Paragonimus_skrjabini_miyazakii	#36a7ed	Paragonimus
Paragonimus_westermani	#36a7ed	Paragonimus
Schistosoma_bovis	#65f706	Schistosoma
Schistosoma_curassoni	#65f706	Schistosoma
Schistosoma_haematobium	#65f706	Schistosoma
Schistosoma_japonicum	#65f706	Schistosoma
Schistosoma_mansoni	#65f706	Schistosoma
Schistosoma_margrebowiei	#65f706	Schistosoma
Schistosoma_mattheei	#65f706	Schistosoma
Trichobilharzia_regenti	#0fb77a	Trichobilharzia
Amphimedon_queenslandica	#40a976	Amphimedon
Rotaria_sp._Silwood2	#952d6d	Rotaria
Didymodactylos_carnosus	#5e791b	Didymodactylos
Edaphobacter_modestus	#85cb93	Edaphobacter
Granulicella_mallensis	#6873b3	Granulicella
Granulicella_pectinivorans	#6873b3	Granulicella
Granulicella_rosea	#6873b3	Granulicella
Granulicella_sp._5B5	#6873b3	Granulicella
Occallatibacter_riparius	#ff023f	Occallatibacter
Terriglobus_saanensis	#3bf719	Terriglobus
Bryobacteraceae_bacterium	#0c4206	nan
Paludibaculum_fermentans	#9dfb71	Paludibaculum
Candidatus_Acidoferrum_panamensis	#d8f30f	Candidatus Acidoferrum
Pyrinomonadaceae_bacterium	#0c4206	nan
Sulfidibacter_corallicola	#4db090	Sulfidibacter
Luteitalea_pratensis	#7dc72a	Luteitalea
Candidatus_Microthrix_parvicella	#d9ba90	Candidatus Microthrix
Corynebacterium_efficiens	#c0da46	Corynebacterium
Gordonia_mangrovi	#b73a3b	Gordonia
Mycobacterium_dioxanotrophicus	#4d4d5d	Mycobacterium
Mycolicibacterium_agri	#0b66c0	Mycolicibacterium
Mycolicibacterium_fortuitum	#0b66c0	Mycolicibacterium
Mycolicibacterium_wolinskyi	#0b66c0	Mycolicibacterium
Rhodococcus_maanshanensis	#5e4ef7	Rhodococcus
Rhodococcus_tukisamuensis	#5e4ef7	Rhodococcus
Candidatus_Frankia_datiscae	#d80364	Frankia
Frankia_alni	#d80364	Frankia
Frankia_casuarinae	#d80364	Frankia
Frankia_soli	#d80364	Frankia
Frankia_sp._Cc1.17	#d80364	Frankia
Frankia_sp._R43	#d80364	Frankia
Blastococcus_sp._CT_GayMR19	#cb2232	Blastococcus
Blastococcus_sp._DSM_44272	#cb2232	Blastococcus
Geodermatophilus_daqingensis	#317627	Geodermatophilus
