DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	family-strip
COLOR	#ff0000
DATA
Phialophora_macrospora	#369dba	Herpotrichiellaceae
Rhinocladiella_mackenziei	#369dba	Herpotrichiellaceae
Chaetothyriales_sp._CBS_132003	#9315d0	nan
Chaetothyriales_sp._CBS_134916	#9315d0	nan
Chaetothyriales_sp._CBS_134920	#9315d0	nan
Chaetothyriales_sp._CBS_135597	#9315d0	nan
Aspergillus_aculeatus	#e3088e	Aspergillaceae
Aspergillus_alliaceus	#e3088e	Aspergillaceae
Aspergillus_arachidicola	#e3088e	Aspergillaceae
Aspergillus_avenaceus	#e3088e	Aspergillaceae
Aspergillus_awamori	#e3088e	Aspergillaceae
Aspergillus_bertholletiae	#e3088e	Aspergillaceae
Aspergillus_bombycis	#e3088e	Aspergillaceae
Aspergillus_brasiliensis	#e3088e	Aspergillaceae
Aspergillus_burnettii	#e3088e	Aspergillaceae
Aspergillus_caelatus	#e3088e	Aspergillaceae
Aspergillus_calidoustus	#e3088e	Aspergillaceae
Aspergillus_candidus	#e3088e	Aspergillaceae
Aspergillus_carbonarius	#e3088e	Aspergillaceae
Aspergillus_chevalieri	#e3088e	Aspergillaceae
Aspergillus_clavatus	#e3088e	Aspergillaceae
Aspergillus_coremiiformis	#e3088e	Aspergillaceae
Aspergillus_cristatus	#e3088e	Aspergillaceae
Aspergillus_ellipticus	#e3088e	Aspergillaceae
Aspergillus_felis	#e3088e	Aspergillaceae
Aspergillus_fischeri	#e3088e	Aspergillaceae
Aspergillus_fumigatiaffinis	#e3088e	Aspergillaceae
Aspergillus_fumigatus	#e3088e	Aspergillaceae
Aspergillus_glaucus	#e3088e	Aspergillaceae
Aspergillus_heteromorphus	#e3088e	Aspergillaceae
Aspergillus_hiratsukae	#e3088e	Aspergillaceae
Aspergillus_homomorphus	#e3088e	Aspergillaceae
Aspergillus_ibericus	#e3088e	Aspergillaceae
Aspergillus_leporis	#e3088e	Aspergillaceae
Aspergillus_minisclerotigenes	#e3088e	Aspergillaceae
Aspergillus_mulundensis	#e3088e	Aspergillaceae
Aspergillus_nidulans	#e3088e	Aspergillaceae
Aspergillus_niger	#e3088e	Aspergillaceae
Aspergillus_nomiae	#e3088e	Aspergillaceae
Aspergillus_novofumigatus	#e3088e	Aspergillaceae
Aspergillus_novoparasiticus	#e3088e	Aspergillaceae
Aspergillus_oryzae	#e3088e	Aspergillaceae
Aspergillus_oryzae	#e3088e	Aspergillaceae
Aspergillus_parasiticus	#e3088e	Aspergillaceae
Aspergillus_parasiticus	#e3088e	Aspergillaceae
Aspergillus_pseudonomiae	#e3088e	Aspergillaceae
Aspergillus_pseudotamarii	#e3088e	Aspergillaceae
Aspergillus_puulaauensis	#e3088e	Aspergillaceae
Aspergillus_rambellii	#e3088e	Aspergillaceae
Aspergillus_ruber	#e3088e	Aspergillaceae
Aspergillus_saccharolyticus	#e3088e	Aspergillaceae
Aspergillus_sclerotialis	#e3088e	Aspergillaceae
Aspergillus_sclerotiicarbonarius	#e3088e	Aspergillaceae
Aspergillus_sclerotioniger	#e3088e	Aspergillaceae
Aspergillus_sp._HF37	#e3088e	Aspergillaceae
Aspergillus_steynii	#e3088e	Aspergillaceae
Aspergillus_sydowii	#e3088e	Aspergillaceae
Aspergillus_tamarii	#e3088e	Aspergillaceae
Aspergillus_tanneri	#e3088e	Aspergillaceae
Aspergillus_terreus	#e3088e	Aspergillaceae
Aspergillus_terreus	#e3088e	Aspergillaceae
Aspergillus_thermomutatus	#e3088e	Aspergillaceae
Aspergillus_tubingensis	#e3088e	Aspergillaceae
Aspergillus_turcosus	#e3088e	Aspergillaceae
Aspergillus_udagawae	#e3088e	Aspergillaceae
Aspergillus_uvarum	#e3088e	Aspergillaceae
Aspergillus_versicolor	#e3088e	Aspergillaceae
Aspergillus_violaceofuscus	#e3088e	Aspergillaceae
Aspergillus_welwitschiae	#e3088e	Aspergillaceae
Aspergillus_wentii	#e3088e	Aspergillaceae
Monascus_purpureus	#e3088e	Aspergillaceae
Penicilliopsis_zonata	#e3088e	Aspergillaceae
Penicillium_antarcticum	#e3088e	Aspergillaceae
Penicillium_arizonense	#e3088e	Aspergillaceae
Penicillium_brasilianum	#e3088e	Aspergillaceae
Penicillium_coprophilum	#e3088e	Aspergillaceae
Penicillium_crustosum	#e3088e	Aspergillaceae
Penicillium_decumbens	#e3088e	Aspergillaceae
Penicillium_digitatum	#e3088e	Aspergillaceae
Penicillium_expansum	#e3088e	Aspergillaceae
Penicillium_flavigenum	#e3088e	Aspergillaceae
Penicillium_freii	#e3088e	Aspergillaceae
Penicillium_griseofulvum	#e3088e	Aspergillaceae
Penicillium_italicum	#e3088e	Aspergillaceae
Penicillium_nalgiovense	#e3088e	Aspergillaceae
Penicillium_nordicum	#e3088e	Aspergillaceae
Penicillium_oxalicum	#e3088e	Aspergillaceae
Penicillium_polonicum	#e3088e	Aspergillaceae
Penicillium_rubens	#e3088e	Aspergillaceae
Penicillium_solitum	#e3088e	Aspergillaceae
Penicillium_sp._'occitanis'	#e3088e	Aspergillaceae
Penicillium_sp._RFL-2021a	#e3088e	Aspergillaceae
Penicillium_steckii	#e3088e	Aspergillaceae
Penicillium_subrubescens	#e3088e	Aspergillaceae
Penicillium_vulpinum	#e3088e	Aspergillaceae
Elaphomyces_granulatus	#4f7d30	Elaphomycetaceae
Paecilomyces_variotii	#fa8c16	Thermoascaceae
Paecilomyces_variotii	#fa8c16	Thermoascaceae
Rasamsonia_emersonii	#f76889	Trichocomaceae
Talaromyces_amestolkiae	#f76889	Trichocomaceae
Talaromyces_atroroseus	#f76889	Trichocomaceae
Talaromyces_islandicus	#f76889	Trichocomaceae
Talaromyces_marneffei	#f76889	Trichocomaceae
Talaromyces_rugulosus	#f76889	Trichocomaceae
Talaromyces_stipitatus	#f76889	Trichocomaceae
Blastomyces_gilchristii	#13e9e9	Ajellomycetaceae
Blastomyces_parvus	#13e9e9	Ajellomycetaceae
Blastomyces_percursus	#13e9e9	Ajellomycetaceae
Blastomyces_silverae	#13e9e9	Ajellomycetaceae
Emergomyces_africanus	#13e9e9	Ajellomycetaceae
Emergomyces_pasteurianus	#13e9e9	Ajellomycetaceae
Emmonsia_crescens	#13e9e9	Ajellomycetaceae
Helicocarpus_griseus	#13e9e9	Ajellomycetaceae
Histoplasma_capsulatum	#13e9e9	Ajellomycetaceae
Histoplasma_capsulatum	#13e9e9	Ajellomycetaceae
Histoplasma_capsulatum	#13e9e9	Ajellomycetaceae
Histoplasma_capsulatum	#13e9e9	Ajellomycetaceae
Histoplasma_mississippiense_(nom._inval.)	#13e9e9	Ajellomycetaceae
Histoplasma_ohiense_(nom._inval.)	#13e9e9	Ajellomycetaceae
Polytolypa_hystricis	#13e9e9	Ajellomycetaceae
Microsporum_canis	#fe234e	Arthrodermataceae
Nannizzia_gypsea	#fe234e	Arthrodermataceae
Trichophyton_benhamiae	#fe234e	Arthrodermataceae
Trichophyton_interdigitale	#fe234e	Arthrodermataceae
Trichophyton_interdigitale	#fe234e	Arthrodermataceae
Trichophyton_rubrum	#fe234e	Arthrodermataceae
Ascosphaera_apis	#4c5e4d	Ascosphaeraceae
Paracoccidioides_brasiliensis	#9315d0	nan
Paracoccidioides_lutzii	#9315d0	nan
Coccidioides_immitis	#8cb4b0	Onygenaceae
Coccidioides_immitis	#8cb4b0	Onygenaceae
Coccidioides_immitis	#8cb4b0	Onygenaceae
Coccidioides_posadasii	#8cb4b0	Onygenaceae
Uncinocarpus_reesii	#8cb4b0	Onygenaceae
Phaeomoniella_chlamydospora	#725c41	Phaeomoniellaceae
Endocarpon_pusillum	#b920cd	Verrucariaceae
Endocarpon_pusillum	#b920cd	Verrucariaceae
Glutinoglossum_americanum	#00e865	Geoglossaceae
Trichoglossum_hirsutum	#00e865	Geoglossaceae
Heterodermia_speciosa	#f1f75e	Physciaceae
Alectoria_fallacina	#5a3044	Parmeliaceae
Imshaugia_aleurites	#5a3044	Parmeliaceae
Letharia_columbiana	#5a3044	Parmeliaceae
Letharia_lupina	#5a3044	Parmeliaceae
