DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	order-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#ff91ad	Acrospermales
Penicillium_subrubescens	#2cbf9f	Eurotiales
Penicillium_vulpinum	#2cbf9f	Eurotiales
Elaphomyces_granulatus	#2cbf9f	Eurotiales
Paecilomyces_variotii	#2cbf9f	Eurotiales
Paecilomyces_variotii	#2cbf9f	Eurotiales
Rasamsonia_emersonii	#2cbf9f	Eurotiales
Talaromyces_amestolkiae	#2cbf9f	Eurotiales
Talaromyces_atroroseus	#2cbf9f	Eurotiales
Talaromyces_islandicus	#2cbf9f	Eurotiales
Talaromyces_marneffei	#2cbf9f	Eurotiales
Talaromyces_rugulosus	#2cbf9f	Eurotiales
Talaromyces_stipitatus	#2cbf9f	Eurotiales
Blastomyces_gilchristii	#8af947	Onygenales
Blastomyces_parvus	#8af947	Onygenales
Blastomyces_percursus	#8af947	Onygenales
Blastomyces_silverae	#8af947	Onygenales
Emergomyces_africanus	#8af947	Onygenales
Emergomyces_pasteurianus	#8af947	Onygenales
Emmonsia_crescens	#8af947	Onygenales
Helicocarpus_griseus	#8af947	Onygenales
Histoplasma_capsulatum	#8af947	Onygenales
Histoplasma_capsulatum	#8af947	Onygenales
Histoplasma_capsulatum	#8af947	Onygenales
Histoplasma_capsulatum	#8af947	Onygenales
Histoplasma_mississippiense_(nom._inval.)	#8af947	Onygenales
Histoplasma_ohiense_(nom._inval.)	#8af947	Onygenales
Polytolypa_hystricis	#8af947	Onygenales
Microsporum_canis	#8af947	Onygenales
Nannizzia_gypsea	#8af947	Onygenales
Trichophyton_benhamiae	#8af947	Onygenales
Trichophyton_interdigitale	#8af947	Onygenales
Trichophyton_interdigitale	#8af947	Onygenales
Trichophyton_rubrum	#8af947	Onygenales
Ascosphaera_apis	#8af947	Onygenales
Paracoccidioides_brasiliensis	#8af947	Onygenales
Paracoccidioides_lutzii	#8af947	Onygenales
Coccidioides_immitis	#8af947	Onygenales
Coccidioides_immitis	#8af947	Onygenales
Coccidioides_immitis	#8af947	Onygenales
Coccidioides_posadasii	#8af947	Onygenales
Uncinocarpus_reesii	#8af947	Onygenales
Phaeomoniella_chlamydospora	#b00a2a	Phaeomoniellales
Endocarpon_pusillum	#cbfc00	Verrucariales
Endocarpon_pusillum	#cbfc00	Verrucariales
Glutinoglossum_americanum	#c8bbb5	Geoglossales
Trichoglossum_hirsutum	#c8bbb5	Geoglossales
Heterodermia_speciosa	#5e357f	Caliciales
Alectoria_fallacina	#b6c129	Lecanorales
Imshaugia_aleurites	#b6c129	Lecanorales
Letharia_columbiana	#b6c129	Lecanorales
Letharia_lupina	#b6c129	Lecanorales
Gomphillus_americanus	#1e64b7	Ostropales
Blumeria_graminis	#6da168	Erysiphales
Blumeria_hordei	#6da168	Erysiphales
Blumeria_hordei	#6da168	Erysiphales
Erysiphe_necator	#6da168	Erysiphales
Erysiphe_pulchra	#6da168	Erysiphales
Golovinomyces_cichoracearum	#6da168	Erysiphales
Oidium_neolycopersici	#6da168	Erysiphales
Amorphotheca_resinae	#ddfeac	Helotiales
Coleophoma_cylindrospora	#ddfeac	Helotiales
Marssonina_coronariae	#ddfeac	Helotiales
Drepanopeziza_brunnea	#ddfeac	Helotiales
Glarea_lozoyensis	#ddfeac	Helotiales
Glarea_lozoyensis	#ddfeac	Helotiales
Hymenoscyphus_albidus	#ddfeac	Helotiales
Hymenoscyphus_fraxineus	#ddfeac	Helotiales
Hyaloscypha_bicolor	#ddfeac	Helotiales
Hyaloscypha_hepaticicola	#ddfeac	Helotiales
Hyaloscypha_variabilis	#ddfeac	Helotiales
Hyphodiscus_hymeniophilus	#ddfeac	Helotiales
Lachnellula_arida	#ddfeac	Helotiales
Lachnellula_cervina	#ddfeac	Helotiales
Lachnellula_hyalina	#ddfeac	Helotiales
Lachnellula_occidentalis	#ddfeac	Helotiales
Lachnellula_subtilissima	#ddfeac	Helotiales
Lachnellula_suecica	#ddfeac	Helotiales
Lachnellula_willkommii	#ddfeac	Helotiales
Mollisia_scopiformis	#ddfeac	Helotiales
Phialocephala_subalpina	#ddfeac	Helotiales
Amylocarpus_encephaloides	#ddfeac	Helotiales
Cadophora_malorum	#ddfeac	Helotiales
Cadophora_sp._DSE1049	#ddfeac	Helotiales
Cadophora_sp._M221	#ddfeac	Helotiales
Helotiales_sp._DMI_Dod_QoI	#ddfeac	Helotiales
Rhexocercosporidium_sp._MPI-PUGE-AT-0058	#ddfeac	Helotiales
Calycina_marina	#ddfeac	Helotiales
Venustampulla_echinocandica	#ddfeac	Helotiales
Rhynchosporium_commune	#ddfeac	Helotiales
Rutstroemia_sp._NJR-2017a_BBW	#ddfeac	Helotiales
Rutstroemia_sp._NJR-2017a_BVV2	#ddfeac	Helotiales
Rutstroemia_sp._NJR-2017a_WRK4	#ddfeac	Helotiales
Botryotinia_calthae	#ddfeac	Helotiales
Botryotinia_convoluta	#ddfeac	Helotiales
Botryotinia_narcissicola	#ddfeac	Helotiales
Botrytis_cinerea	#ddfeac	Helotiales
Botrytis_cinerea	#ddfeac	Helotiales
Botrytis_elliptica	#ddfeac	Helotiales
Botrytis_fragariae	#ddfeac	Helotiales
Botrytis_porri	#ddfeac	Helotiales
Monilinia_fructicola	#ddfeac	Helotiales
Monilinia_fructigena	#ddfeac	Helotiales
Monilinia_laxa	#ddfeac	Helotiales
Monilinia_vaccinii-corymbosi	#ddfeac	Helotiales
Sclerotinia_borealis	#ddfeac	Helotiales
Sclerotinia_sclerotiorum	#ddfeac	Helotiales
Sclerotinia_trifoliorum	#ddfeac	Helotiales
Cudoniella_acicularis	#ddfeac	Helotiales
Oidiodendron_maius	#9c00a8	nan
Leotiomycetes_sp._MPI-SDFR-AT-0126	#9c00a8	nan
Scytalidium_lignicola	#9c00a8	nan
Scytalidium_sp._3C	#9c00a8	nan
Pseudogymnoascus_destructans	#9c00a8	nan
Pseudogymnoascus_sp._05NY08	#9c00a8	nan
Pseudogymnoascus_sp._23342-1-I1	#9c00a8	nan
Pseudogymnoascus_sp._24MN13	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-3557	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-3775	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-3808	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-4246	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-4281_(FW-2241)	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-4513_(FW-928)	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-4515_(FW-2607)	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-4516_(FW-969)	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-4518_(FW-2643)	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-4519_(FW-2642)	#9c00a8	nan
Pseudogymnoascus_sp._VKM_F-4520_(FW-2644)	#9c00a8	nan
Pseudogymnoascus_sp._WSF_3629	#9c00a8	nan
Pseudogymnoascus_verrucosus	#9c00a8	nan
Neolecta_irregularis	#32c897	Neolectales
Arthrobotrys_flagrans	#54b984	Orbiliales
Dactylellina_haptotyla	#54b984	Orbiliales
Drechslerella_stenobrocha	#54b984	Orbiliales
Orbilia_oligospora	#54b984	Orbiliales
Ascobolus_immersus	#33533e	Pezizales
Ascodesmis_nigricans	#33533e	Pezizales
Morchella_conica	#33533e	Pezizales
Terfezia_boudieri	#33533e	Pezizales
Sphaerosporella_brunnea	#33533e	Pezizales
Choiromyces_venosus	#33533e	Pezizales
Tuber_borchii	#33533e	Pezizales
Tuber_magnatum	#33533e	Pezizales
Tuber_melanosporum	#33533e	Pezizales
Coniochaeta_ligniaria	#d19a52	Coniochaetales
Coniochaeta_pulveracea	#d19a52	Coniochaetales
Coniochaeta_sp._2T2.1	#d19a52	Coniochaetales
Cryphonectria_parasitica	#abe29d	Diaporthales
Diaporthe_ampelina	#abe29d	Diaporthales
Diaporthe_helianthi	#abe29d	Diaporthales
Coniella_lustricola	#abe29d	Diaporthales
Cytospora_leucostoma	#abe29d	Diaporthales
Valsa_mali	#abe29d	Diaporthales
Valsa_malicola	#abe29d	Diaporthales
Valsa_sordida	#abe29d	Diaporthales
Colletotrichum_abscissum	#7a6e22	Glomerellales
Colletotrichum_asianum	#7a6e22	Glomerellales
Colletotrichum_chlorophyti	#7a6e22	Glomerellales
Colletotrichum_fioriniae	#7a6e22	Glomerellales
Colletotrichum_fructicola	#7a6e22	Glomerellales
Colletotrichum_gloeosporioides	#7a6e22	Glomerellales
Colletotrichum_gloeosporioides	#7a6e22	Glomerellales
Colletotrichum_graminicola	#7a6e22	Glomerellales
Colletotrichum_higginsianum	#7a6e22	Glomerellales
Colletotrichum_higginsianum	#7a6e22	Glomerellales
Colletotrichum_incanum	#7a6e22	Glomerellales
Colletotrichum_karsti	#7a6e22	Glomerellales
Colletotrichum_lupini	#7a6e22	Glomerellales
Colletotrichum_musicola	#7a6e22	Glomerellales
Colletotrichum_orbiculare	#7a6e22	Glomerellales
Colletotrichum_orchidophilum	#7a6e22	Glomerellales
Colletotrichum_plurivorum	#7a6e22	Glomerellales
Colletotrichum_salicis	#7a6e22	Glomerellales
Colletotrichum_scovillei	#7a6e22	Glomerellales
Colletotrichum_shisoi	#7a6e22	Glomerellales
Colletotrichum_sublineola	#7a6e22	Glomerellales
Colletotrichum_tanaceti	#7a6e22	Glomerellales
Colletotrichum_tofieldiae	#7a6e22	Glomerellales
Colletotrichum_trifolii	#7a6e22	Glomerellales
Plectosphaerella_cucumerina	#7a6e22	Glomerellales
Plectosphaerella_plurivora	#7a6e22	Glomerellales
Sodiomyces_alkalinus	#7a6e22	Glomerellales
Verticillium_alfalfae	#7a6e22	Glomerellales
Verticillium_dahliae	#7a6e22	Glomerellales
Verticillium_dahliae	#7a6e22	Glomerellales
Verticillium_longisporum	#7a6e22	Glomerellales
Clonostachys_rhizophaga	#ec48a8	Hypocreales
Clonostachys_rosea	#ec48a8	Hypocreales
Geosmithia_morbida	#ec48a8	Hypocreales
Claviceps_africana	#ec48a8	Hypocreales
Claviceps_purpurea	#ec48a8	Hypocreales
Claviceps_pusilla	#ec48a8	Hypocreales
Epichloe_festucae	#ec48a8	Hypocreales
Metarhizium_acridum	#ec48a8	Hypocreales
Metarhizium_album	#ec48a8	Hypocreales
Metarhizium_anisopliae	#ec48a8	Hypocreales
Metarhizium_humberi	#ec48a8	Hypocreales
Metarhizium_majus	#ec48a8	Hypocreales
Metarhizium_rileyi	#ec48a8	Hypocreales
Moelleriella_libera	#ec48a8	Hypocreales
Pochonia_chlamydosporia	#ec48a8	Hypocreales
Torrubiella_hemipterigena	#ec48a8	Hypocreales
Ustilaginoidea_virens	#ec48a8	Hypocreales
Akanthomyces_lecanii	#ec48a8	Hypocreales
Akanthomyces_lecanii	#ec48a8	Hypocreales
Beauveria_bassiana	#ec48a8	Hypocreales
Beauveria_bassiana	#ec48a8	Hypocreales
Beauveria_bassiana	#ec48a8	Hypocreales
Cordyceps_fumosorosea	#ec48a8	Hypocreales
Cordyceps_javanica	#ec48a8	Hypocreales
Cordyceps_militaris	#ec48a8	Hypocreales
Cordyceps_sp._RAO-2017	#ec48a8	Hypocreales
Escovopsis_weberi	#ec48a8	Hypocreales
Trichoderma_arundinaceum	#ec48a8	Hypocreales
Trichoderma_asperellum	#ec48a8	Hypocreales
Trichoderma_asperellum	#ec48a8	Hypocreales
Trichoderma_atroviride	#ec48a8	Hypocreales
Trichoderma_citrinoviride	#ec48a8	Hypocreales
Trichoderma_cornu-damae	#ec48a8	Hypocreales
Trichoderma_gamsii	#ec48a8	Hypocreales
Trichoderma_harzianum	#ec48a8	Hypocreales
Trichoderma_harzianum	#ec48a8	Hypocreales
Trichoderma_longibrachiatum	#ec48a8	Hypocreales
Trichoderma_reesei	#ec48a8	Hypocreales
Trichoderma_virens	#ec48a8	Hypocreales
Acremonium_chrysogenum	#ec48a8	Hypocreales
Emericellopsis_atlantica	#ec48a8	Hypocreales
Emericellopsis_cladophorae	#ec48a8	Hypocreales
Cylindrodendrum_hubeiense	#ec48a8	Hypocreales
Dactylonectria_estremocensis	#ec48a8	Hypocreales
Dactylonectria_macrodidyma	#ec48a8	Hypocreales
Fusarium_acutatum	#ec48a8	Hypocreales
Fusarium_agapanthi	#ec48a8	Hypocreales
Fusarium_albosuccineum	#ec48a8	Hypocreales
Fusarium_austroafricanum	#ec48a8	Hypocreales
Fusarium_avenaceum	#ec48a8	Hypocreales
Fusarium_beomiforme	#ec48a8	Hypocreales
Fusarium_culmorum	#ec48a8	Hypocreales
Fusarium_flagelliforme	#ec48a8	Hypocreales
Fusarium_fujikuroi	#ec48a8	Hypocreales
Fusarium_gaditjirri	#ec48a8	Hypocreales
Fusarium_globosum	#ec48a8	Hypocreales
Fusarium_graminearum	#ec48a8	Hypocreales
Fusarium_graminearum	#ec48a8	Hypocreales
Fusarium_heterosporum	#ec48a8	Hypocreales
Fusarium_kuroshium	#ec48a8	Hypocreales
Fusarium_langsethiae	#ec48a8	Hypocreales
Fusarium_longipes	#ec48a8	Hypocreales
Fusarium_mundagurra	#ec48a8	Hypocreales
Fusarium_napiforme	#ec48a8	Hypocreales
Fusarium_nygamai	#ec48a8	Hypocreales
Fusarium_odoratissimum	#ec48a8	Hypocreales
Fusarium_oligoseptatum	#ec48a8	Hypocreales
